,title,price,url,website
105,CREME PREVENTIVO DE ASSADURAS DESITIN CREAMY 113G,"R$71,78",https://www.ultrafarma.com.br/postec-pomada-com-20g,ultrafarma
106,DEXPROTENOL POMADA DERMATOLÓGICA 30G,"R$13,19",https://www.ultrafarma.com.br/milagrosa-pomada-massageadora-150g,ultrafarma
107,MILAGROSA POMADA MASSAGEADORA 150G,"R$12,78",https://www.ultrafarma.com.br/esperson-n-pomada-com-20g,ultrafarma
108,PROCTYL 15 SUPOSITÓRIOS,"R$74,83",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-desitin-com-113g,ultrafarma
109,TROK POMADA 30G,"R$33,90",https://www.ultrafarma.com.br/topison-pomada-com-20g,ultrafarma
110,POMADA CHARMING MODELADORA EXTRA FORTE 50G,"R$24,86",https://www.ultrafarma.com.br/daivonex-pomada-com-30g,ultrafarma
111,ÓLEO PARA PREVENÇÃO DE ASSADURAS DERSANI BABY 50ML,"R$23,18",https://www.ultrafarma.com.br/pomada-para-prevencao-de-assaduras-geriaderm-com-120g,ultrafarma
112,NISTATINA + ÓXIDO DE ZINCO - ALIVBABY 20G,"R$9,97",https://www.ultrafarma.com.br/pomada-charming-modeladora-extra-forte-com-50g,ultrafarma
113,ESPERSON N POMADA 20G,"R$44,15",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-geriaderm-age-com-120g,ultrafarma
114,GELOL POMADA 20G,"R$20,79",https://www.ultrafarma.com.br/drenison-pomada-0125-mg-com-30g,ultrafarma
115,HIRUDOID 500 POMADA 40G,"R$35,24",https://www.ultrafarma.com.br/pomada-de-massagem-seiva-de-dragoeiro-150g,ultrafarma
116,ULTRAPROCT LDO CREME 30G,"R$36,90",https://www.ultrafarma.com.br/proctyl-com-15-supositorios,ultrafarma
117,POMADA DE MASSAGEM SEIVA DE DRAGOEIRO 150G,"R$8,01",https://www.ultrafarma.com.br/hirudoid-500-pomada-com-40g,ultrafarma
118,LIDOCAÍNA POMADA SABOR LARANJA 25G - EMS - GENÉRICO,"R$7,45",https://www.ultrafarma.com.br/lidocaina-pomada-sabor-laranja-com-25g-ems-generico,ultrafarma
119,LIDOCAÍNA POMADA 25G - EMS - GENÉRICO,"R$9,91",https://www.ultrafarma.com.br/mud-pomada-oral-com-10g,ultrafarma
120,Pomada Minancora 30g,"R$ 16,29",/pomada-minancora-30g/p,paguemenos
121,Pomada para Assaduras Qualifral 120g,"R$ 21,44",/ad-muc-pomada-10g/p,drogal
122,Pomada Vick BabyRub Bálsamo para Bebês 12g,"R$ 17,99",/massageol-pomada-15g/p,drogal
123,Pomada para Tratamento de Assaduras Dermodex Tratamento 60g,"R$ 70,99",/pomada-para-mamilos-de-lanolina-hpa-lansinoh-30g/p,drogal
124,Pomada para Prevenção de Assaduras Dermodex Prevent 30g,"R$ 16,39",/Tarfic01mgpomadabisnagacom10g/p,drogal
125,Pomada Desodorante Massageadora Fisiofort Bio Instinto 150g,"R$ 9,99",/bepantriz-dupla-protecao-pomada-30g/p,drogal
126,Pomada Assadura Kind Baby 46g,"R$ 8,95",/lidocaina-50mg-ems-pomada-dermatologica-25g/p,drogal
127,Pomada Cicatrizante Contractubex Gel 20g,"R$ 86,39",/pomada-vick-babyrub-balsamo-para-bebes-12g/p,drogal
128,Pomada Cicatrizante Contractubex Gel 50g,"R$ 189,89",/postec-pomada-20g/p,drogal
129,Pomada Trok Bisnaga 10g,"R$ 14,39",/creme-prevencao-de-assaduras-dermodex-prevent-60g/p,drogal
130,Pomada Massageadora Bio Instinto Fisiofort + Premium 150g,"R$ 13,39",/pomada-massageadora-canela-de-velho-premium-ora-pro-nobis-150g/p,drogal
131,Pomada Reparadora Eucerin Aquaphor 2 Unidades 9g,"R$ 35,49",/nebacetin-pomada-250uig-bisnaga-15g/p,drogal
132,Motix Pomada 50g,"R$ 67,79",/sulfato-de-neomicina-5mg-bacitracina-250ui-medley-pomada-dermatologica-15g/p,drogal
133,Gelo-Bio Pomada 20g,"R$ 12,99",/PomadaAssaduraKindBaby46g/p,drogal
134,Pomada Massageadora Canela de Velho Premium Ora Pro Nóbis 150g,"R$ 12,99",/pomada-trok-n-bisnaga-10g/p,drogal
135,Pomada para Mamilos De Lanolina Hpa Lansinoh 30g,"R$ 55,29",/GeloBioPomada20g/p,drogal
136,Pomada Vick BabyRub Bálsamo para Bebês 50g,"R$ 66,95",/propionato-de-clobetasol-pomada-05mgg-bisnaga-30g-germed/p,drogal
137,Queimalive Pomada Dermatológica 30g,"R$ 17,49",/pomada-para-tratamento-de-assaduras-dermodex-tratamento-60g/p,drogal
138,Pomada Trok-N Bisnaga 10g,"R$ 16,49",/varicell-proct-pomada-4dh-bisnaga-25g/p,drogal
139,Lidocaina 5% 50mg Pomada com 25g,"R$ 11,79",/pomada-cicatrizante-contractubex-gel-50g/p,drogal
140,Hemodase Pomada 25g + 10 Aplicações,"R$ 24,99",/MotixPomada50g/p,drogal
141,Minancora pomada dermatológica 30g,"R$ 14,79",/pomada-trok-bisnaga-10g/p,drogal
142,Ad Muc Pomada 10g,"R$ 37,99",/furoato-mometasona-1mgg-pomada-com-20g/p,drogal
143,Massageol Pomada 15g,"R$ 8,49",/balsamo-bengue-pda-60g/p,drogal
144,Pomada Desodorante Massageadora Bio Instinto Canela de Velho com Sebo de Carneiro 150g,"R$ 8,99",/trok-n-pomada-30g/p,drogal
145,Postec Pomada 20g,"R$ 109,89",/lidocaina-50mg-pomada-25g-pharlab/p,drogal
146,Tarfic 1mg pomada bisnaga com 30g,"R$ 133,79",/ValeratodeBetametasonaPomada30gGPharlab/p,drogal
147,Pomada para Prevenção de Assaduras Dermodex Prevent 60g,"R$ 29,59",/desonida-05mgg-germed-pomada-dermatologica-30g/p,drogal
148,Furoato Mometasona 1mg/g pomada com 20g,"R$ 17,39","/AciclovirPomadaoftalmica30mg/g4,5gGPharlab/p",drogal
